Product_Name,Supermarket_Category
Hafer ganzes Korn,Backwaren
Hafer Flocken,Backwaren
Gerste ganzes Korn,Backwaren
Gerste Mehl,Gewürze & Backzutaten
Mais,Backwaren
Mais Mehl,Gewürze & Backzutaten
Reis poliert,Trockensortiment & Konserven
Reis parboiled,Trockensortiment & Konserven
Teigwaren eifrei,Trockensortiment & Konserven
Vollkornteigwaren eifrei,Trockensortiment & Konserven
Erdbeere,Obst & Gemüse
Himbeere,Obst & Gemüse
Maulbeere,Obst & Gemüse
Rucola,Obst & Gemüse
Stielmus Rübstiel,Obst & Gemüse
Gemüsepaprika grün,Obst & Gemüse
Gemüsepaprika rot,Obst & Gemüse
Kohlrübe Steckrübe,Obst & Gemüse
Knollensellerie,Obst & Gemüse
Alfalfasprossen Alfalfakeimlinge,Backwaren
Linsensprossen Linsenkeimlinge,Backwaren
Tofu,Kühlregal (Vegan & Käse)
Seidentofu,Kühlregal (Vegan & Käse)
Roquefort,Kühlregal (Molkerei)
Gorgonzola,Kühlregal (Molkerei)
Milchpulver,Kühlregal (Molkerei)
Vollmilchpulver,Kühlregal (Molkerei)
Buttermilchpulver,Kühlregal (Molkerei)
Kaffeeersatzpulver,Getränke Alkoholfrei
Zichorienkaffeepulver,Getränke Alkoholfrei
Apfelwein,Bier & Wein
Obstbrand Obstwasser,Bier & Wein
Wodka,Bier & Wein
Rum,Bier & Wein
Honig,Süßwaren & Snacks
Blütenhonig,Süßwaren & Snacks
Hering,Fisch & Wurstwaren
Bückling,Fisch & Wurstwaren
Sprotte,Fisch & Wurstwaren
Steinbutt,Fisch & Wurstwaren
Heilbutt Weißer Heilbutt,Fisch & Wurstwaren
Karpfen,Fisch & Wurstwaren
Blei Brachsen Brasse,Fisch & Wurstwaren
Barsch Flussbarsch,Fisch & Wurstwaren
Rotbarsch Goldbarsch,Fisch & Wurstwaren
Hummer,Fisch & Wurstwaren
Garnele Granat Krabbe,Fisch & Wurstwaren
Europäische Auster,Fisch & Wurstwaren
Miesmuschel,Fisch & Wurstwaren
Schaf Brust,Fleischtheke
Schaf Bug Schulter,Fleischtheke
Schaf Hinterhaxe,Fleischtheke
Kaninchen Fleisch,Fleischtheke
Hase Fleisch,Fleischtheke
Hafer Schrot,Backwaren
Hafer Grütze,Backwaren
Hafer Mehl,Gewürze & Backzutaten
